Compound,Compound Class,Composite (Y or N),Oxided or nitrided,Presence of Carbon,Carbon Structures,N-doped Carbon Structure (0 or 1),Doping (other than TMs),Morphology Category,Grown on,"Porous - 1, Non-Porous - 0",Substrates,Presence of atoms (other than TMs),Cobalt atoms,Nickel atoms,Iron atoms,Molybdenum atoms,Manganese atoms,Copper atoms,Zinc atoms,Chromium Atoms,Vanadium Atoms,Tungsten atoms,Titanium atoms,Average d electrons,Is Average d electrons>=5? Yes (1) or no (0),pH,Catalyst Loading (mg/cm2),Catalyst>=1 or not,Overpotential (mV),Grade
CoO,Co,0,0,0,0,0,0,3,0,0,carbon_based,0,1,0,0,0,0,0,0,0,0,0,0,4.857142857,0,14,2.5,1,369,F
Cr-NiCo2O4/NF,Co,1,0,0,0,0,0,2,1,1,NF,0,2,1,0,0,0,0,0,0.0279,0,0,0,4.892857143,0,14,1,1,238,A
Co–Fe–O/rgo,Co,1,0,1,4,0,0,3,0,0,GC,0,4,0,1,0,0,0,0,0,0,0,0,5,1,14,0.1,0,350,A
NiO,Ni,0,0,0,0,0,0,2,0,0,GC,0,0,1,0,0,0,0,0,0,0,0,0,5.033333333,1,14,0.4,0,418,F
MnCo2O4/NF,Co,1,0,0,0,0,0,6,1,1,NF,0,2,0,0,0,1,0,0,0,0,0,0,5.142857143,1,14,,,289,A
Co2CrO4,Co,0,0,0,0,0,0,3,0,0,GC,0,2,0,0,0,0,0,0,1,0,0,0,5.15,1,14,0.84,0,370,F
Ni2Fe1-O,Ni,1,0,0,0,0,0,2,0,1,NF,0,0,2,1,0,0,0,0,0,0,0,0,5.166666667,1,14,5.4,1,270,A
Co3O4,Co,0,0,0,0,0,0,3,0,0,NF,0,3,0,0,0,0,0,0,0,0,0,0,5.2,1,14,1,1,328,A
NiCo2O4/GN,Co,1,0,1,2,0,0,6,0,1,GC,0,2,1,0,0,0,0,0,0,0,0,0,5.243445693,1,14,25.5,1,383,F
Co3O4/C,Co,1,0,1,3,0,0,2,0,1,GC,0,3,0,0,0,0,0,0,0,0,0,0,5.25,1,13,0.2,0,387,F
NixCo3–xO4,Co,0,0,0,0,0,0,6,0,1,GC,0,2.25,1,0,0,0,0,0,0,0,0,0,5.25,1,14,0.21,0,363,F
MnOx/CNT,Other TMs,1,0,1,1,0,0,6,0,0,GC,0,0,0,0,0,1,0,0,0,0,0,0,5.25,1,14,0.28,0,379,F
NiCo2O4/NF,Co,1,0,0,0,0,0,2,1,1,NF,0,2,1,0,0,0,0,0,0,0,0,0,5.25,1,14,1,1,308,A
NiMoO4,Ni,0,0,0,0,0,0,8,0,0,GC,0,0,1,0,1,0,0,0,0,0,0,0,5.285714286,1,13,0.124,0,390,F
Fe3CoO,Co,0,0,1,3,0,0,7,0,0,GC,0,1,0,3,0,0,0,0,0,0,0,0,5.425,1,13,0.36,0,323,A
Co2.4Al0.6O4,Co,0,0,0,0,0,1,7,0,1,GC,13,2.4,0,0,0,0,0,0,0,0,0,0,5.5,1,14,0.64,0,290,A
LiCo0.8Fe0.2O2,Co,0,0,1,3,0,0,8,0,0,GC,3,0.8,0,0.2,0,0,0,0,0,0,0,0,5.6,1,12.6,0.232,0,340,A
NiCo2O4,Ni,0,0,0,0,0,0,7,0,0,GC,0,2,1,0,0,0,0,0,0,0,0,0,5.6,1,14,0.35,0,333,A
Co2.6Fe7.4Ox / NPC,Fe,1,0,1,2,1,0,7,0,1,GC,0,2.6,0,7.4,0,0,0,0,0,0,0,0,5.6,1,14,0.357,0,328,A
CoOx,Co,0,0,0,0,0,0,8,0,0,GC,0,1,0,0,0,0,0,0,0,0,0,0,5.6,1,14,0.4,0,327,A
NiCo2−xFexO4,Co,0,0,0,0,0,0,3,0,0,carbon_based,0,1.883,1,0.117,0,0,0,0,0,0,0,0,5.6,1,14,0.5,0,336,A
NiCo2O4@MnO2,Co,1,0,0,0,0,0,4,2,1,carbon_based,0,2,1,0,0,1,0,0,0,0,0,0,5.6,1,14,0.6,0,337,A
NiMoO4,Ni,0,0,0,0,0,0,7,0,1,NF,0,0,1,0,1,0,0,0,0,0,0,0,5.6,1,14,7,1,359,F
