Compound,Compound Class,Composite (Y or N),Oxided or nitrided,Overpotential (mV),Stability (h),"iR correction 
"
Ni3FeN,Ni,0,1,255,-,1
Ni3N,Ni,0,1,358,-,1
Ni3FeN,Ni,0,1,241,130,1
FeNi3N,Ni,0,1,202,400,1
NiFeOx,Ni,0,0,335,-,1
NixCuyO,Ni,0,0,433,50,1
CoxNiyCuzO,Ni,0,0,388,50,1
Ni2CoO,Ni,0,0,410,-,-
NiO,Ni,0,0,400,-,-
Ni3N/AG,Ni,1,1,317,,1
Ni3N/BP,Ni,1,1,292,,1
FeNi3N,Ni,0,1,237,-,1
FeNi3N-Ni3S2(8%),Ni,1,1,226,-,1
FeNi3N-Ni3S2(12%),Ni,1,1,203,11,1
FeNi3N-Ni3S2(18%),Ni,1,1,222,-,1
FeNi3N-Ni3S2(26%),Ni,1,1,220,-,1
Ni-NiO/N-rGO,Ni,1,1,240,11.11,1
Ni3FeN,Ni,0,1,380,-,-
NC–NiCu–NiCuN,Ni,1,1,232,50,1
NC–Ni-NiN,Ni,1,1,282,-,1
Ni3N,Ni,0,1,360,-,1
Ni3N,Ni,0,1,335,-,1
Ni3N/Ni,Ni,1,1,325,-,1
(Ni3-xFex)FeN,Ni,0,1,259,-,1
(Ni3-xFex)FeN/Ni-2,Ni,1,1,251,-,1
(Ni3-xFex)FeN/Ni-3,Ni,1,1,241,-,1
(Ni3-xFex)FeN/Ni-4,Ni,1,1,237,-,1
(Ni3-xFex)FeN/Ni-5,Ni,1,1,223,50,1
(Ni3-xFex)FeN/Ni-6,Ni,1,1,229,-,1
(Ni3-xFex)FeN/Ni-7,Ni,1,1,253,-,1
NiO-Ni/NCNT,Ni,1,0,400,8.33,0
CoFe2O4/C,Fe,1,0,240,30,1
CoFe2O4/C,Fe,1,0,315,30,1
CoFe2O4,Fe,0,0,350,30,1
Fe2Ni2N/rGO,Fe,1,1,290,24,1
Fe2Ni2N,Fe,0,1,335,-,1
NiFe2O4,Fe,0,0,410,-,1
Fe2N,Fe,0,1,400,-,0
CoFe2O4 ,Fe,0,0,410,5.55,-
CoFe2O4 ,Fe,0,0,520,-,-
CuFe2O4 ,Fe,0,0,450,-,-
CuFe2O4 ,Fe,0,0,540,-,-
NiFe2O4 ,Fe,0,0,470,-,-
NiFe2O4 ,Fe,0,0,550,-,-
MnFe2O4 ,Fe,0,0,520,-,-
MnFe2O4 ,Fe,0,0,640,-,-
Fe2O3 ,Fe,0,0,550,-,-
Fe2O3 ,Fe,0,0,750,-,-
Ni1.5Fe1.5-O,Fe,1,0,290,-,1
Ni1Fe2-O,Fe,1,0,316,-,1
Co0.77Fe9.23Ox,Fe,1,0,380,-,-
Co2.6Fe7.4Ox,Fe,1,0,328,15,-
Co4.5Fe5.5Ox,Fe,1,0,356,-,-
Fe10Ox,Fe,1,0,520,-,-
FeMoON,Fe,1,1,330,20,1
FeON,Fe,0,1,340,-,1
S-NiFe2O4/NF,Fe,1,0,267,24,1
S-Fe3O4/NF,Fe,1,0,279,-,1
NiFe2O4/NF,Fe,1,0,343,-,1
Co–Fe–O/rgo,Fe,1,0,390,-,1
Co–Fe–O/rgo,Fe,1,0,470,-,1
FeMnO/CC,Fe,1,0,273,12,1
FeGaOx,Fe,0,0,459,-,0
FeGaOx,Fe,0,0,262,-,1
FeOx,Fe,0,0,313,-,1
FeGaOx,Fe,0,0,377,-,1
FeOx,Fe,0,0,407,-,0
FeGaOx,Fe,0,0,381,-,0
FeOx,Fe,0,0,515,-,0
FeCoOx,Fe,0,0,301,-,0
FeOx,Fe,0,0,514,-,0
CoAl-Fe2N/Fe3N,Fe,1,1,307,8,0
Al-Fe2N/Fe3N,Fe,1,1,389,-,0
Co-Fe2N,Fe,0,1,412,-,0
Fe2N,Fe,0,1,451,-,0
CoFe(1:1)-N        ,Fe,0,1,250,-,1
CoFe(1:3)-N        ,Fe,0,1,340,-,1
Fe2Ni2N,Fe,0,1,200,10,1
Ni-Fe-O,Fe,0,0,260,-,1
Fe4N/Ni3N/Fe2O3 ( Fe : Ni = 1:9 ),Fe,1,1,334,-,0
Fe4N/Ni3N/Fe2O3 ( Fe : Ni = 2:8),Fe,1,1,318,-,0
Fe4N/Ni3N/Fe2O3 ( Fe : Ni = 5:5 ),Fe,1,1,295,-,0
Fe2Ni2N/CNT,Fe,1,1,282,40,1
Fe2Ni2N,Fe,0,1,340,40,1
Fe0.79Ni0.21Ox,Fe,0,0,320,,1
Fe0.59Ni0.41Ox,Fe,0,0,300,,1
Fe0.39Co0.39Ni0.22Ox,Fe,0,0,290,-,1
Fe0.59Co0.19Ni0.22Ox,Fe,0,0,330,,1
FeOx,Fe,0,0,405,-,1
NiFe2O4,Fe,0,0,302,-,1
Fe2N/N-G,Fe,1,1,440,-,1
Fe3N/Fe4N,Fe,1,1,238,17,-
NiFe2O4,Fe,0,0,342,2,1
Fe4N,Fe,0,1,364,-,1
Fe2N/r-GO,Fe,1,1,375,-,1
NiCo/Fe3O4,Fe,1,0,238,36,-
FeOx,Fe,0,0,430,-,1
Fe0.76Co0.24Ox,Fe,0,0,330,,1
Fe0.52Co0.48Ox,Fe,0,0,270,,1
NiFe2O4,Fe,0,0,262,100,-
Fe2O3,Fe,0,0,378,-,-
Fe3Pt/Ni3FeN,Fe,1,1,365,-,-
Co0.05Fe0.95N0.5,Fe,0,1,320,-,1
Co0.1Fe0.9N0.5,Fe,0,1,300,-,1
Co0.15Fe0.85N0.5,Fe,0,1,266,90,1
Co0.2Fe0.8N0.5,Fe,0,1,291,-,1
Fe1N0.5,Fe,0,1,365,-,1
CaMoO4,Mo,0,0,345,-,1
CaMoO4,Mo,0,0,405,-,1
CaMoO4,Mo,0,0,422,-,1
FeMoO4,Mo,0,0,293,-,1
FeMoO4,Mo,0,0,373,-,1
NiFeMoN,Mo,1,1,253,-,-
NiFeMoN,Mo,1,1,248,-,-
NiFeMoN,Mo,1,1,231,-,-
MoO2,Mo,0,0,260,24,0
MoO2,Mo,0,0,330,-,0
Ni2Mo3N,Mo,0,1,270,-,1
Mo2N,Mo,0,1,450,-,1
NiMoO4–CoMoO4,Mo,1,0,300,-,1
NiMoO4,Mo,0,0,359,-,1
Mo2N/Mo2C,Mo,1,1,276,10,-
Mo3N2,Mo,0,1,430,-,1
delta MnO2,Mn,0,0,740,-,1
beta MnO2,Mn,0,0,600,-,1
alpha MnO2 SF,Mn,0,0,490,3,1
Ni / alpha MnO2 SF,Mn,0,0,510,-,1
MnO2,Mn,0,0,513,-,1
MnO2–Mn2O3,Mn,1,0,450,10,-
Mn2O3,Mn,0,0,520,10,-
CoMn(1:1)-N        ,Mn,0,1,370,-,1
CoMn(1:3)-N        ,Mn,0,1,400,-,1
Mn3N2,Mn,0,1,390,3,1
Mn2O3,Mn,0,0,470,-,1
Mn3N2,Mn,0,1,270,180,1
Mn2O3,Mn,0,0,330,-,1
MnOx,Mn,0,0,514,-,1
CoO/Mn3O4,Mn,1,0,455,-,-
FeCoCrOx,Cr,0,0,245,10,0
FeCrOx,Cr,0,0,344,-,0
CoCrOx,Cr,0,0,326,-,0
Co1.5Cr1.5O4,Cr,0,0,390,-,1
Co1.25Cr1.75O4,Cr,0,0,380,-,1
CoCr2O4,Cr,0,0,400,-,1
CrON,Cr,0,1,409,12,-
CrN,Cr,0,1,446,-,-
Cr2O3,Cr,0,0,477,-,-
"Co,P-VN",V,0,1,335,10,-
Co-VN,V,0,1,395,-,-
P-VN,V,0,1,401,-,-
VN,V,0,1,458,-,-
V2O5 (Anneal),V,0,0,514,-,1
α-V2O5 (Hydrothermal),V,0,0,528,-,1
γ‘-V2O5 (Hydrothermal),V,0,0,490,-,1
VO2 (Anneal),V,0,0,350,-,1
VO2 (Hydrothermal),V,0,0,460,-,1
Co-VN/CC,V,1,1,395,-,-
P-VN/CC,V,1,1,401,-,-
VN/CC,V,1,1,458,-,-
Co3V/VN,Co,1,1,312,12,1
Co/VN,Co,1,1,324,-,1
Co2VO4,Co,0,0,300,,1
