Compound,Compound Class,Composite (Y or N),Oxided or nitrided,Presence of Carbon,Carbon Structures,N-doped Carbon Structure (0 or 1),Doping (other than TMs),Morphology Category,Grown on,"Porous - 1, Non-Porous - 0",Substrates,Presence of atoms (other than TMs),Cobalt atoms,Nickel atoms,Iron atoms,Molybdenum atoms,Manganese atoms,Copper atoms,Zinc atoms,Chromium Atoms,Vanadium Atoms,Tungsten atoms,Titanium atoms,Average d electrons,pH,Concentration Electrolyte,Catalyst Loading (mg/cm2),Overpotential (mV)
TRGO/Co3O4,Co,1,0,1,4,0,0,6,2,0,GC,0,3,0,0,0,0,0,0,0,0,0,0,3.5,0,0.5,0.01,260
CoNx@GDY/NF,Co,1,1,1,2,0,0,7,1,1,NF,0,1,0,0,0,0,0,0,0,0,0,0,2.428571429,14,1,3.83,260
CoOx/NC,Co,1,0,1,3,1,0,7,0,1,NF,0,1,0,0,0,0,0,0,0,0,0,0,,14,1,1,260
Co3O4@C,Co,1,0,1,3,0,0,4,1,1,GC,0,6.2,0,0,0,0,0,0,0,0,0,0,2.428571429,14,1,1,261
Co4N-VN1-xOx/CC,Co,1,1,1,3,0,0,7,2,1,carbon_based,0,3,0,0,0,0,0,0,0,1,0,0,6.55,14,1,2.03,263
Mn-CoN/CFC,Co,1,1,1,3,0,0,2,2,1,carbon_based,0,0.85,0,0,0,0.15,0,0,0,0,0,0,,14,1,,265
CeO2-CuCoO/NF,Co,1,0,0,0,0,1,6,1,1,NF,58,1,0,0,0,0,1,0,0,0,0,0,2.571428571,14,1,1,266
NiCo2O4@C,Co,1,0,1,1,0,0,6,0,0,NF,0,2,1,0,0,0,0,0,0,0,0,0,,14,1,1,267
Co3FeNx/NC-10,Co,1,1,1,1,1,0,2,2,1,carbon_based,0,3,0,1,0,0,0,0,0,0,0,0,2.964285714,14,1,,270
Au/CoMoO4,Co,1,0,0,0,0,1,7,3,1,GC,79,1,0,0,1,0,0,0,0,0,0,0,2.571428571,14,1,7.25,270
